date,discriminator_score,is_abnormal
2024-01-02,0.6934784,False
2024-01-03,0.69347936,False
2024-01-04,0.69374126,False
2024-01-05,0.6934821,False
2024-01-08,0.6937435,False
2024-01-09,0.693536,False
2024-01-10,0.69773835,False
2024-01-11,0.6940577,False
2024-01-12,0.69350743,False
2024-01-15,0.6935576,False
2024-01-16,0.6934561,False
2024-01-17,0.693598,False
2024-01-18,0.6934882,False
2024-01-19,0.6935151,False
2024-01-22,0.69347143,False
2024-01-23,0.6937544,False
2024-01-24,0.69408804,False
2024-01-25,0.6934924,False
2024-01-26,0.5279101,False
2024-01-29,0.693487,False
2024-01-30,0.69410545,False
2024-01-31,0.69349784,False
2024-02-01,0.6935047,False
2024-02-02,0.69354725,False
2024-02-05,0.6939259,False
2024-02-15,0.69356596,False
2024-02-16,0.693452,False
2024-02-19,0.24278039,True
2024-02-20,0.69350636,False
2024-02-21,0.69350123,False
2024-02-22,0.69361484,False
2024-02-23,0.693512,False
2024-02-26,0.69355726,False
2024-02-27,0.69362324,False
2024-02-29,0.23477672,True
2024-03-01,0.6934381,False
2024-03-04,0.6936436,False
2024-03-05,0.69370794,False
2024-03-06,0.6913524,False
2024-03-07,0.69353026,False
2024-03-08,0.6935474,False
2024-03-11,0.69345504,False
2024-03-12,0.6936169,False
2024-03-13,0.69345397,False
2024-03-14,0.69350517,False
2024-03-15,0.6934523,False
2024-03-18,0.69452065,False
2024-03-19,0.69393843,False
2024-03-20,0.69346935,False
2024-03-21,0.6936387,False
2024-03-22,0.69350183,False
2024-03-25,0.6934679,False
2024-03-26,0.69369155,False
2024-03-27,0.69356006,False
2024-03-28,0.6934372,False
2024-03-29,0.694221,False
