date,discriminator_score,is_abnormal
2024-01-02,0.7335105,False
2024-01-03,0.7398288,False
2024-01-04,0.7337678,False
2024-01-05,0.74382603,False
2024-01-08,0.73334634,False
2024-01-09,0.7395685,False
2024-01-10,0.7335956,False
2024-01-11,0.61706275,False
2024-01-12,0.7345119,False
2024-01-15,0.72996366,False
2024-01-16,0.7320903,False
2024-01-17,0.73117,False
2024-01-18,0.7126046,False
2024-01-19,0.69077635,False
2024-01-22,0.71018004,False
2024-01-23,0.61182386,False
2024-01-24,0.73029274,False
2024-01-25,0.725867,False
2024-01-26,0.7336149,False
2024-01-29,0.7107998,False
2024-01-30,0.68664646,False
2024-01-31,0.7371268,False
2024-02-01,0.71239233,False
2024-02-02,0.7009165,False
2024-02-05,0.68830633,False
2024-02-15,0.66960704,False
2024-02-16,0.72581553,False
2024-02-19,0.6972721,False
2024-02-20,0.43043128,True
2024-02-21,0.7285465,False
2024-02-22,0.7031435,False
2024-02-23,0.727024,False
2024-02-26,0.7225606,False
2024-02-27,0.7236601,False
2024-02-29,0.6876388,False
2024-03-01,0.7364501,False
2024-03-04,0.6993259,False
2024-03-05,0.72511286,False
2024-03-06,0.691451,False
2024-03-07,0.6925419,False
2024-03-08,0.7158521,False
2024-03-11,0.73218286,False
2024-03-12,0.71277803,False
2024-03-13,0.724715,False
2024-03-14,0.71723187,False
2024-03-15,0.7351997,False
2024-03-18,0.7104349,False
2024-03-19,0.71892893,False
2024-03-20,0.7231813,False
2024-03-21,0.68974394,False
2024-03-22,0.7356198,False
2024-03-25,0.65707713,False
2024-03-26,0.71659666,False
2024-03-27,0.6966301,False
2024-03-28,0.7320941,False
2024-03-29,0.7032259,False
