date,discriminator_score,is_abnormal
2024-01-02,0.08374397,True
2024-01-03,0.49002555,True
2024-01-04,0.48924384,True
2024-01-05,0.48909733,True
2024-01-08,0.48900756,True
2024-01-09,0.4891143,True
2024-01-10,0.4897084,True
2024-01-11,0.4887974,True
2024-01-12,0.48905513,True
2024-01-15,0.48937523,True
2024-01-16,0.48883253,True
2024-01-17,0.49051064,True
2024-01-18,0.4889917,True
2024-01-19,0.4886875,True
2024-01-22,0.48862064,True
2024-01-23,0.49016675,True
2024-01-24,0.49022967,True
2024-01-25,0.22799821,True
2024-01-26,0.48891073,True
2024-01-29,0.49028102,True
2024-01-30,0.48933807,True
2024-01-31,0.4901128,True
2024-02-01,0.48856702,True
2024-02-02,0.5105931,False
2024-02-05,0.48867005,True
2024-02-15,0.48941645,True
2024-02-16,0.49006367,True
2024-02-19,0.4885169,True
2024-02-20,0.48886395,True
2024-02-21,0.4893202,True
2024-02-22,0.4888817,True
2024-02-23,0.4893701,True
2024-02-26,0.48858204,True
2024-02-27,0.10425084,True
2024-02-29,0.4891401,True
2024-03-01,0.48639515,True
2024-03-04,0.49274668,True
2024-03-05,0.4885725,True
2024-03-06,0.48871008,True
2024-03-07,0.48905513,True
2024-03-08,0.49289966,True
2024-03-11,0.49071637,True
2024-03-12,0.49003637,True
2024-03-13,0.48923978,True
2024-03-14,0.48993772,True
2024-03-15,0.08511761,True
2024-03-18,0.48832893,True
2024-03-19,0.48907042,True
2024-03-20,0.4892742,True
2024-03-21,0.48927614,True
2024-03-22,0.12998725,True
2024-03-25,0.48990968,True
2024-03-26,0.08361487,True
2024-03-27,0.4886481,True
2024-03-28,0.48905,True
2024-03-29,0.48833928,True
